rank,score,place_name,maps_category,rating,review_count,price_level,cluster,neighbours,full_address,postcode,website,phone,vintage_confidence,reason
1,81.4,Second Rail,Vintage clothing store,4.8,684,££,0,7,"147 Dale St, Manchester",M25 8AU,secondrail,0161 690877,0.9,"excellent 4.8★ on 684 reviews (established, high footfall) · mid-range (££) · dense cluster — 7 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
2,78.9,Second Corner,Boutique,4.7,772,£££,2,4,"95 Tib St, Manchester",M19 8DF,secondcorner.co.uk,0161 913718,0.98,"excellent 4.7★ on 772 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage streetwear, streetwear, nike, adidas, ralph"
3,72.6,Foundry Corner,Thrift store,4.3,724,£££,0,4,"150 Oldham St, Manchester",M15 8FR,,0161 580464,0.98,"strong 4.3★ on 724 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
4,71.5,Analog Archive,Vintage clothing store,4.4,356,£££,0,5,"82 High St, Manchester",M15 5QG,analogarchive,,0.65,"strong 4.4★ on 356 reviews (well-reviewed) · upmarket (£££) · dense cluster — 5 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: curated vintage"
5,71.3,Velvet Garments,Boutique,4.8,664,££,3,2,"166 Oldham St, Manchester",M10 4DA,velvetgarments.com,0161 579887,0.9,"excellent 4.8★ on 664 reviews (established, high footfall) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: reworked, archive designer"
6,70.4,Attic & Sons,Vintage store,4.9,345,,0,3,"18 Newton St, Manchester",M8 1RU,atticandsons,,0.98,"excellent 4.9★ on 345 reviews (well-reviewed) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage streetwear, streetwear, nike, adidas, ralph"
7,70.2,Nomad Racks,Vintage clothing store,4.5,435,££,1,3,"88 Newton St, Manchester",M25 1UT,,,0.9,"excellent 4.5★ on 435 reviews (well-reviewed) · mid-range (££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: reworked, archive designer"
8,65.7,Heirloom Threads,Thrift store,4.5,500,££,3,2,"29 High St, Manchester",M19 3TQ,,,0.7,"excellent 4.5★ on 500 reviews (established, high footfall) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: curated vintage"
9,64.9,Heirloom Closet,Boutique,4.6,267,££,2,2,"170 Tib St, Manchester",M21 8LS,,0161 066504,0.7,excellent 4.6★ on 267 reviews (well-reviewed) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: curated vintage
10,63.8,Velvet Collective,Thrift store,4.7,226,£,0,3,"73 Dale St, Manchester",M7 1AD,,0161 926921,0.98,"excellent 4.7★ on 226 reviews (well-reviewed) · budget (£) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
11,63.5,Moth Goods,Thrift store,4.8,82,££,1,2,"178 Tib St, Manchester",M7 8DD,mothgoods.co.uk,0161 723804,0.98,"excellent 4.8★ on 82 reviews · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
12,63.4,Golden Era Goods,Vintage clothing store,3.9,206,££,0,4,"175 Broadway, Manchester, Manchester",M13 3TQ,,,0.98,"solid 3.9★ on 206 reviews (well-reviewed) · mid-range (££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
13,63.1,Bygone Store,Clothing store,4.4,143,£££,0,3,"172 High St, Manchester",M5 1DA,bygonestore.com,,0.98,"strong 4.4★ on 143 reviews · upmarket (£££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
14,62.6,Patina Store,Retro clothing shop,4.6,549,££,3,1,"153 The Parade, Manchester, Manchester",M23 2PD,patinastore.com,0161 382761,0.85,"excellent 4.6★ on 549 reviews (established, high footfall) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: y2k, grunge"
15,62.5,Time Warp Archive,Clothing store,3.6,814,£££,0,4,"37 Hilton St, Manchester",M6 6GT,,0161 710021,0.85,"modest 3.6★ on 814 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
16,62.4,Bygone Vintage,Boutique,4.1,400,£££,0,3,"57 Tib St, Manchester",M16 8BS,bygonevintage,0161 543520,0.9,"strong 4.1★ on 400 reviews (well-reviewed) · upmarket (£££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: reworked, archive designer"
17,61.4,Nomad Archive,Vintage clothing store,4.2,523,,0,3,"104 Stevenson Sq, Manchester",M25 3TP,,0161 492975,0.85,"strong 4.2★ on 523 reviews (established, high footfall) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: reworked, archive designer"
18,59.4,Rewind Vault,Vintage store,4.3,777,££,5,1,"153 Hilton St, Manchester",M11 8BD,,0161 784699,0.98,"strong 4.3★ on 777 reviews (established, high footfall) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
19,59.2,Retrograde Threads,Thrift store,4.3,732,££,1,1,"144 Church St, Manchester",M4 5AJ,retrogradethreads.com,0161 272386,0.95,"strong 4.3★ on 732 reviews (established, high footfall) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
20,59.1,Revival Denim,Vintage clothing store,4.0,632,,0,3,"126 Thomas St, Manchester",M20 7GU,,,0.98,"strong 4.0★ on 632 reviews (established, high footfall) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
21,58.4,Mercer Racks,Used clothing store,4.3,595,,1,2,"117 Newton St, Manchester",M14 9TR,,0161 846895,0.9,"strong 4.3★ on 595 reviews (established, high footfall) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: y2k, grunge"
22,57.4,Patina Exchange,Clothing store,3.7,349,££,2,3,"69 Tib St, Manchester",M9 7TJ,patinaexchange.co.uk,0161 106181,0.65,"solid 3.7★ on 349 reviews (well-reviewed) · mid-range (££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: curated vintage"
23,57.4,Worn Room,Thrift store,4.4,302,££,1,1,"153 Dale St, Manchester",M24 5BU,wornroom.co.uk,0161 144294,0.98,"strong 4.4★ on 302 reviews (well-reviewed) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
24,53.8,Pinegrove Room,Boutique,3.4,753,£,0,4,"136 Hilton St, Manchester",M16 2TU,,0161 431074,0.85,"modest 3.4★ on 753 reviews (established, high footfall) · budget (£) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
25,53.1,Relic Garments,Thrift store,3.7,712,£,1,3,"122 High St, Manchester",M7 3LW,relicgarments,0161 145608,0.98,"solid 3.7★ on 712 reviews (established, high footfall) · budget (£) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
26,52.9,Loop Vintage,Thrift store,4.3,526,,4,1,"82 Dale St, Manchester",M19 5SQ,,,0.9,"strong 4.3★ on 526 reviews (established, high footfall) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
27,52.8,Rewind Archive,Boutique,4.4,336,££,6,0,"153 Thomas St, Manchester",M3 4SP,,0161 253092,0.98,"strong 4.4★ on 336 reviews (well-reviewed) · mid-range (££) · standalone (a small detour) · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
28,52.1,Velvet Closet,Used clothing store,3.7,322,££,1,2,"59 Broadway, Manchester, Manchester",M9 3NJ,velvetcloset.co.uk,0161 701601,0.9,"solid 3.7★ on 322 reviews (well-reviewed) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: reworked, archive designer"
29,51.2,Echo Goods,Thrift store,3.9,637,£££,3,1,"21 Church St, Manchester",M24 1WQ,echogoods.co.uk,0161 183253,0.98,"solid 3.9★ on 637 reviews (established, high footfall) · upmarket (£££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
30,50.6,Retrograde Emporium,Boutique,3.8,547,££,2,1,"103 Stevenson Sq, Manchester",M10 8JR,retrogradeemporium.com,0161 580185,0.95,"solid 3.8★ on 547 reviews (established, high footfall) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
31,49.4,Ragged Rail,Vintage store,3.8,403,,4,2,"118 Dale St, Manchester",M21 4GB,,0161 173203,0.98,"solid 3.8★ on 403 reviews (well-reviewed) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
32,44.0,Retrograde Wardrobe,Used clothing store,3.6,817,,5,1,"29 Stevenson Sq, Manchester",M15 7GP,retrogradewardrobe,,0.75,"modest 3.6★ on 817 reviews (established, high footfall) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: curated vintage"
33,42.6,Ragged Racks,Vintage store,3.6,244,£,2,2,"117 Oldham St, Manchester",M4 1GG,raggedracks.com,0161 531531,0.9,"modest 3.6★ on 244 reviews (well-reviewed) · budget (£) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: y2k, grunge"
34,37.6,Nomad Corner,Used clothing store,3.5,365,£,4,1,"79 High St, Manchester",M9 4UQ,nomadcorner.co.uk,0161 284222,0.98,"modest 3.5★ on 365 reviews (well-reviewed) · budget (£) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: vintage streetwear, streetwear, nike, adidas, ralph"
