store_name,city,stage,channel,archetype,draft_source,draft_subject,draft_body
Velvet Closet,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Velvet Closet — sourcing vintage in bulk,"Hi Hannah Byrne, I came across Velvet Closet and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Moth Supply,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Moth Supply,"Hi there, circling back on my note about sourcing 80s/90s denim & sportswear specialist through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Dusty Vault,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Dusty Vault,"Hi Ellie Meyer, circling back on my note about sourcing vintage streetwear — nike, adidas, ralph through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Nomad Vault,Glasgow,negotiating,physical,in_conversation,template,[template] Next step for Nomad Vault,"Hi there, good chatting. To keep things moving I can put together bulk pricing on reworked vintage and archive designer pieces or set up a small first order whenever you're ready — which is easier for you?"
Velvet Exchange,Berlin,negotiating,physical,in_conversation,template,[template] Next step for Velvet Exchange,"Hi Oscar Shah, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Dusty Store,New York,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Dusty Store,"Hi Yusuf Klein, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
Velvet Room,London,in_conversation,physical,in_conversation,template,[template] Next step for Velvet Room,"Hi Oscar Ali, good chatting. To keep things moving I can put together bulk pricing on y2k, grunge and reworked one-off pieces or set up a small first order whenever you're ready — which is easier for you?"
Faded Vault,Glasgow,won,physical,active_customer,template,"[template] How's it going, Faded Vault?","Hi Noor Meyer, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the vintage workwear, military surplus, carhartt you're after."
Rewind Society,London,never_contacted,physical,cold_intro,template,[template] Fleek x Rewind Society — sourcing vintage in bulk,"Hi Mila Lopez, I came across Rewind Society and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
stockrail59,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (237 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit stockrail59 again. Would you be open to taking another look — no commitment?"
depopthreads55,,never_contacted,online,cold_intro,template,[template] Fleek x depopthreads55 — sourcing vintage in bulk,"Hi there, I came across depopthreads55 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
WORN TRADING CO,London,contacted,physical,follow_up,template,[template] Following up — Fleek for WORN TRADING CO,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
archivedrip82,,never_contacted,online,cold_intro,template,[template] Fleek x archivedrip82 — sourcing vintage in bulk,"Hi there, I came across archivedrip82 and loved the ig shop, dms open. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Static Racks,London,meeting_booked,physical,in_conversation,template,[template] Next step for Static Racks,"Hi Ines Dubois, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Faded Denim,London,meeting_booked,physical,in_conversation,template,[template] Next step for Faded Denim,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
Analog Loft,London,meeting_booked,physical,in_conversation,template,[template] Next step for Analog Loft,"Hi Chloe Okafor, good chatting. To keep things moving I can put together bulk pricing on retro football shirts & vintage sportswear or set up a small first order whenever you're ready — which is easier for you?"
Attic Rail,Glasgow,contacted,physical,follow_up,template,[template] Following up — Fleek for Attic Rail,"Hi there, circling back on my note about sourcing reworked vintage and archive designer pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Foundry Archive,Paris,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while. We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Foundry Archive again. Would you be open to taking another look — no commitment?"
Faded & Sons,London,negotiating,physical,in_conversation,template,[template] Next step for Faded & Sons,"Hi Sofia Klein, good chatting. To keep things moving I can put together bulk pricing on vintage workwear, military surplus, carhartt or set up a small first order whenever you're ready — which is easier for you?"
Second & Sons,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (172 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Second & Sons again. Would you be open to taking another look — no commitment?"
Echo Collective,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Echo Collective,"Hi there, circling back on my note about sourcing reworked vintage and archive designer pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Cedar Exchange,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Cedar Exchange,"Hi Marco Green, circling back on my note about sourcing retro football shirts & vintage sportswear through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
stockfinds96,,negotiating,online,in_conversation,template,[template] Next step for stockfinds96,"Hi there, good chatting. To keep things moving I can put together bulk pricing on ig shop, dms open or set up a small first order whenever you're ready — which is easier for you?"
Flea & Co,London,never_contacted,physical,cold_intro,template,[template] Fleek x Flea & Co — sourcing vintage in bulk,"Hi Theo Nowak, I came across Flea & Co and loved the reclaimed furniture and home restoration. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Second Room,London,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Second Room,"Hi there, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
Reloved Supply,Manchester,contacted,physical,follow_up,template,[template] Following up — Fleek for Reloved Supply,"Hi there, circling back on my note about sourcing charity shop — all proceeds to local causes through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
stockroom69,,never_contacted,online,cold_intro,template,[template] Fleek x stockroom69 — sourcing vintage in bulk,"Hi there, I came across stockroom69 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Faded Finds,London,never_contacted,physical,cold_intro,template,[template] Fleek x Faded Finds — sourcing vintage in bulk,"Hi Grace Diallo, I came across Faded Finds and loved the reworked vintage and archive designer pieces. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
archiveco79,,won,online,active_customer,template,"[template] How's it going, archiveco79?","Hi there, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the ig shop, dms open you're after."
Attic Garments,New York,never_contacted,physical,cold_intro,template,[template] Fleek x Attic Garments — sourcing vintage in bulk,"Hi Karim Cole, I came across Attic Garments and loved the hand-picked vintage from the 60s to the 90s. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in New York?"
Revival Trading Co,Bristol,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Revival Trading Co,"Hi Priya Nowak, totally hear you. I know price matters — Fleek isn't about being the cheapest, it's hand-picked vintage bought at volume so it actually sells through at a good margin. No hard sell — happy to let the stock speak for itself whenever suits."
studiofinds26,,meeting_booked,online,in_conversation,template,[template] Next step for studiofinds26,"Hi there, good chatting. To keep things moving I can put together bulk pricing on your stock or set up a small first order whenever you're ready — which is easier for you?"
retroco74,,never_contacted,online,cold_intro,template,[template] Fleek x retroco74 — sourcing vintage in bulk,"Hi there, I came across retroco74 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Time Warp Exchange,Berlin,never_contacted,physical,cold_intro,template,[template] Fleek x Time Warp Exchange — sourcing vintage in bulk,"Hi Theo Nowak, I came across Time Warp Exchange and loved the hand-picked vintage from the 60s to the 90s. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Berlin?"
Attic Room,Amsterdam,in_conversation,physical,in_conversation,template,[template] Next step for Attic Room,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
Loop Apparel,London,negotiating,physical,in_conversation,template,[template] Next step for Loop Apparel,"Hi Tom Meyer, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
Attic Wardrobe,London,lost,physical,lost,template,[template] Leaving the door open — Attic Wardrobe,"Hi there, no worries that the timing wasn't right. If sourcing 80s/90s denim & sportswear specialist in bulk becomes useful down the line, I'm one message away. Wishing Attic Wardrobe a great season."
grailfinds46,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (223 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit grailfinds46 again. Would you be open to taking another look — no commitment?"
eraroom21,,never_contacted,online,cold_intro,template,[template] Fleek x eraroom21 — sourcing vintage in bulk,"Hi there, I came across eraroom21 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
depoprail23,,contacted,online,follow_up,template,[template] Following up — Fleek for depoprail23,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
stockpicks87,,never_contacted,online,cold_intro,template,[template] Fleek x stockpicks87 — sourcing vintage in bulk,"Hi there, I came across stockpicks87 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Mercer Society,New York,never_contacted,physical,cold_intro,template,[template] Fleek x Mercer Society — sourcing vintage in bulk,"Hi there, I came across Mercer Society and loved the charity shop — all proceeds to local causes. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in New York?"
reworkeddrip77,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (178 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit reworkeddrip77 again. Would you be open to taking another look — no commitment?"
Analog Corner,Manchester,meeting_booked,physical,in_conversation,template,[template] Next step for Analog Corner,"Hi there, good chatting. To keep things moving I can put together bulk pricing on records, vinyl & memorabilia or set up a small first order whenever you're ready — which is easier for you?"
Retrograde Corner,Leeds,contacted,physical,follow_up,template,[template] Following up — Fleek for Retrograde Corner,"Hi Amara Marsh, circling back on my note about sourcing reclaimed furniture and home restoration through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Cedar Wardrobe,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while. We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Cedar Wardrobe again. Would you be open to taking another look — no commitment?"
Foundry & Sons,London,never_contacted,physical,cold_intro,template,[template] Fleek x Foundry & Sons — sourcing vintage in bulk,"Hi Noor Diallo, I came across Foundry & Sons and loved the curated vintage womenswear, levi's & band tees. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Relic Vault,London,in_conversation,physical,in_conversation,template,[template] Next step for Relic Vault,"Hi there, good chatting. To keep things moving I can put together bulk pricing on retro football shirts & vintage sportswear or set up a small first order whenever you're ready — which is easier for you?"
Attic Finds,Leeds,contacted,physical,follow_up,template,[template] Following up — Fleek for Attic Finds,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Analog Finds,London,in_conversation,physical,in_conversation,template,[template] Next step for Analog Finds,"Hi there, good chatting. To keep things moving I can put together bulk pricing on records, vinyl & memorabilia or set up a small first order whenever you're ready — which is easier for you?"
Homestead Collectibles,Brighton,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Homestead Collectibles,"Hi Sam Marsh, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
sourcedvault98,,lost,online,lost,template,[template] Leaving the door open — sourcedvault98,"Hi there, no worries that the timing wasn't right. If sourcing your stock in bulk becomes useful down the line, I'm one message away. Wishing sourcedvault98 a great season."
Nomad Denim,Brighton,never_contacted,physical,cold_intro,template,[template] Fleek x Nomad Denim — sourcing vintage in bulk,"Hi there, I came across Nomad Denim and loved the hand-picked vintage from the 60s to the 90s. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Brighton?"
Faded Trading Co,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (230 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Faded Trading Co again. Would you be open to taking another look — no commitment?"
Dusty Shelves Antiques,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Dusty Shelves Antiques — sourcing vintage in bulk,"Hi Oscar Weber, I came across Dusty Shelves Antiques and loved the reclaimed furniture and home restoration. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Heirloom Apparel,Glasgow,never_contacted,physical,cold_intro,template,[template] Fleek x Heirloom Apparel — sourcing vintage in bulk,"Hi Freya Green, I came across Heirloom Apparel and loved the curated vintage womenswear, levi's & band tees. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Glasgow?"
grailroom62,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while. We've made some real changes to how sourcing works since you last ordered, and I think it'd suit grailroom62 again. Would you be open to taking another look — no commitment?"
Curated Racks,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Curated Racks,"Hi Oscar Dubois, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
thepicks63,,contacted,online,follow_up,template,[template] Following up — Fleek for thepicks63,"Hi there, circling back on my note about sourcing sells on depop + vinted through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
eraera65,,negotiating,online,in_conversation,template,[template] Next step for eraera65,"Hi there, good chatting. To keep things moving I can put together bulk pricing on your stock or set up a small first order whenever you're ready — which is easier for you?"
Time Warp Depot,London,never_contacted,physical,cold_intro,template,[template] Fleek x Time Warp Depot — sourcing vintage in bulk,"Hi there, I came across Time Warp Depot and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
deadco25,,never_contacted,online,cold_intro,template,[template] Fleek x deadco25 — sourcing vintage in bulk,"Hi there, I came across deadco25 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
retrothreads90,,replied,online,follow_up,template,[template] Following up — Fleek for retrothreads90,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Marlowe Denim,London,replied,physical,follow_up,template,[template] Following up — Fleek for Marlowe Denim,"Hi there, circling back on my note about sourcing vintage workwear, military surplus, carhartt through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Foundry Trading Co,London,never_contacted,physical,cold_intro,template,[template] Fleek x Foundry Trading Co — sourcing vintage in bulk,"Hi Priya Dubois, I came across Foundry Trading Co and loved the vintage workwear, military surplus, carhartt. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
stockthreads26,,never_contacted,online,cold_intro,template,[template] Fleek x stockthreads26 — sourcing vintage in bulk,"Hi there, I came across stockthreads26 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Kestrel Store,New York,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (319 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Kestrel Store again. Would you be open to taking another look — no commitment?"
Loop Studio,London,negotiating,physical,in_conversation,template,[template] Next step for Loop Studio,"Hi there, good chatting. To keep things moving I can put together bulk pricing on retro football shirts & vintage sportswear or set up a small first order whenever you're ready — which is easier for you?"
Wilder Archive,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Wilder Archive,"Hi Louis Cole, circling back on my note about sourcing reclaimed furniture and home restoration through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Heirloom Goods,London,meeting_booked,physical,in_conversation,template,[template] Next step for Heirloom Goods,"Hi Mila Okafor, good chatting. To keep things moving I can put together bulk pricing on vintage workwear, military surplus, carhartt or set up a small first order whenever you're ready — which is easier for you?"
retrosupply29,,replied,online,follow_up,template,[template] Following up — Fleek for retrosupply29,"Hi there, circling back on my note about sourcing your stock through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Foundry Room,London,meeting_booked,physical,in_conversation,template,[template] Next step for Foundry Room,"Hi Oscar Novak, good chatting. To keep things moving I can put together bulk pricing on vintage workwear, military surplus, carhartt or set up a small first order whenever you're ready — which is easier for you?"
Pinegrove Apparel,London,never_contacted,physical,cold_intro,template,[template] Fleek x Pinegrove Apparel — sourcing vintage in bulk,"Hi there, I came across Pinegrove Apparel and loved the retro football shirts & vintage sportswear. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
archivegoods76,,never_contacted,online,cold_intro,template,[template] Fleek x archivegoods76 — sourcing vintage in bulk,"Hi there, I came across archivegoods76 and loved the ig shop, dms open. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Static Loft,London,negotiating,physical,in_conversation,template,[template] Next step for Static Loft,"Hi Sofia Diallo, good chatting. To keep things moving I can put together bulk pricing on 80s/90s denim & sportswear specialist or set up a small first order whenever you're ready — which is easier for you?"
Wilder Threads,London,lost,physical,lost,template,[template] Leaving the door open — Wilder Threads,"Hi there, no worries that the timing wasn't right. If sourcing fancy dress & theatrical costume hire in bulk becomes useful down the line, I'm one message away. Wishing Wilder Threads a great season."
Dusty Corner,London,never_contacted,physical,cold_intro,template,[template] Fleek x Dusty Corner — sourcing vintage in bulk,"Hi Rosa Frost, I came across Dusty Corner and loved the curated vintage womenswear, levi's & band tees. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Echo Emporium,Paris,contacted,physical,follow_up,template,[template] Following up — Fleek for Echo Emporium,"Hi Oscar Haddad, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Attic Supply,Amsterdam,replied,physical,follow_up,template,[template] Following up — Fleek for Attic Supply,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
thriftedpicks46,,won,online,active_customer,template,"[template] How's it going, thriftedpicks46?","Hi there, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the sells on depop + vinted you're after."
archiveera69,,never_contacted,online,cold_intro,template,[template] Fleek x archiveera69 — sourcing vintage in bulk,"Hi there, I came across archiveera69 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Second Wardrobe,Berlin,contacted,physical,follow_up,template,[template] Following up — Fleek for Second Wardrobe,"Hi there, circling back on my note about sourcing retro football shirts & vintage sportswear through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Pinegrove Studio,Brighton,meeting_booked,physical,in_conversation,template,[template] Next step for Pinegrove Studio,"Hi there, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Bygone Threads,Paris,meeting_booked,physical,in_conversation,template,[template] Next step for Bygone Threads,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
thriftedthreads84,,contacted,online,follow_up,template,[template] Following up — Fleek for thriftedthreads84,"Hi there, circling back on my note about sourcing whatnot seller, live sales through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
reworkedco18,,negotiating,online,in_conversation,template,[template] Next step for reworkedco18,"Hi there, good chatting. To keep things moving I can put together bulk pricing on sells on depop + vinted or set up a small first order whenever you're ready — which is easier for you?"
deadthreads93,,contacted,online,follow_up,template,[template] Following up — Fleek for deadthreads93,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Bygone Garments,Brighton,replied,physical,follow_up,template,[template] Following up — Fleek for Bygone Garments,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
reworkedvault57,,never_contacted,online,cold_intro,template,[template] Fleek x reworkedvault57 — sourcing vintage in bulk,"Hi there, I came across reworkedvault57 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Golden Era Goods,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Golden Era Goods — sourcing vintage in bulk,"Hi there, I came across Golden Era Goods and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Mercer Loft,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Mercer Loft — sourcing vintage in bulk,"Hi Grace Nowak, I came across Mercer Loft and loved the curated vintage womenswear, levi's & band tees. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Nomad Emporium,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (381 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Nomad Emporium again. Would you be open to taking another look — no commitment?"
Relic Racks,London,never_contacted,physical,cold_intro,template,[template] Fleek x Relic Racks — sourcing vintage in bulk,"Hi Rosa Marsh, I came across Relic Racks and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Golden Era Finds,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Golden Era Finds,"Hi Ellie Lopez, circling back on my note about sourcing vintage workwear, military surplus, carhartt through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Cedar Finds,London,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Cedar Finds,"Hi there, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
